Erasmus ID,ETER ID,FP7 ID,GRID_ID,Scimago id_2018,Leiden_ID,University,Country_code,City,Region,NUTS3,Latitude,Longitude,Overall,Research,Innovation,Societal,2013 Ranking,POI_count,POI_scaled,ETS_AGGR EVC,ETS_CENT_RANK,ETT_AGGR_EVC,ETT_CENT_RANK,FP7_AGGR_EVC,FP7_RANK,AGG_EVC,AGG_RANK,ETER ID YEAR,NAT,Personnel expenditure (EURO),Total graduates at ISCED 8,R&D Expenditure (EURO),Share of mobile PhD students,Share of mobile PhD graduates,PhD intensity,Total academic staff (FTE),Total number of full professors,Inclusion of PhD students,Total staff (FTE),staff_scaled,Erasmus incoming students,Erasmus outgoing students,impact_P,collab_P,TCS,TNCS,P_top1,P_top10,P_top50,P_collab,P_int_collab,P_industry_collab,P_short_dist_collab,P_long_dist_collab,MCS,MCS_lb,MCS_ub,MNCS,MNCS_lb,MNCS_ub,PP_top1,PP_top1_lb,PP_top1_ub,PP_top10,PP_top10_lb,PP_top10_ub,PP_top50,PP_top50_lb,PP_top50_ub,PP_collab,PP_collab_lb,PP_collab_ub,PP_int_collab,PP_int_collab_lb,PP_int_collab_ub,PP_industry_collab,PP_industry_collab_lb,PP_industry_collab_ub,PP_short_dist_collab,PP_short_dist_collab_lb,PP_short_dist_collab_ub,PP_long_dist_collab,PP_long_dist_collab_lb,PP_long_dist_collab_ub,Erasmus incoming teachers,Erasmus outgoing teachers,SCIMAGO_2018_SOC,Label,Number of projects,Location,Country,Act_type,EU member = 1,homophily (domestic/all links),Sum of EC contribution
A  GRAZ01,AT0002,999873188,"GRID,5110,5,OR",NA,652,University of Graz,AT,Graz,Western Europe,AT221,47.0777872,15.4499126,21,20,24,13,435,100,1,0,243,0,243,0.170944906,98,0.004145326,258,AT0002.2013,AT,NA,195,NA,0.157277506,0.2,0.058864963,2160.519243,NA,NA,NA,0.309537516,313,338,1305.441638,2702,8480.469041,1555.119848,13.27073323,180.1130373,708.6737554,2186,1730,143,316,709,6.49624525,5.932740463,7.109919307,1.191259573,1.109856639,1.285105169,0.010165704,0.006399611,0.014674663,0.137970961,0.123150259,0.152959595,0.542861308,0.522638913,0.564738072,0.809030348,0.794966691,0.825314582,0.640266469,0.623242043,0.658401184,0.05292376,0.044411547,0.062176166,0.116950407,0.103256847,0.129163583,0.262398224,0.246854182,0.279052554,40,49,21,UNIVERSITAET GRAZ,59,"GRAZ, AT",AT,HES,1,2.08E-02,20899611.97
A  GRAZ02,AT0006,999977948,"GRID,410413,3,OR",422,161,Graz University of Technology,AT,Graz,Western Europe,AT221,47.0691371,15.4503154,14,13,14,14,356,100,1,0.093942082,194,0.02678065,181,0.273660178,64,0.096690793,193,AT0006.2013,AT,NA,175.5,NA,0.210720255,0.239316239,0.086538462,2160.519243,NA,NA,NA,0.309537516,151,136,1286.526475,2507,6021.47343,1360.604342,11.65994849,133.5042665,701.5877951,1982,1447,278,431,487,4.680411596,4.305789107,5.124451422,1.057579745,0.987262164,1.136271231,0.009063124,0.005404221,0.013362316,0.103771099,0.091501385,0.118227325,0.545334907,0.524931819,0.567969004,0.790586358,0.775029916,0.806940566,0.577183885,0.558037495,0.597128041,0.110889509,0.098923016,0.123254886,0.171918628,0.157159952,0.185879537,0.194256083,0.178300758,0.210211408,38,17,14,TECHNISCHE UNIVERSITAET GRAZ,132,"GRAZ, AT",AT,HES,1,0.123809524,42522106.07
A  GRAZ23,AT0015,999836231,"GRID,11598,34,DE",514,298,Medical University of Graz,AT,Graz,Western Europe,AT221,47.0797409,15.4665653,22,16,25,43,469,55,0.55,0.022538228,236,0.009647462,223,0.13419633,128,0.025744449,236,AT0015.2013,AT,NA,32,NA,0.271974843,0.5,0.074070177,2160.519243,NA,NA,NA,0.309537516,52,94,1584.126645,3524,9170.683216,1495.352331,10.41904008,147.6525093,802.4963749,2871,2198,317,308,970,5.789109883,5.409074773,6.238201884,0.943960091,0.897508605,0.997457866,0.006577151,0.004179496,0.009535028,0.093207516,0.082770855,0.105091228,0.506585996,0.486074314,0.525142624,0.814699205,0.801645857,0.828603859,0.623723042,0.607832009,0.640749149,0.089954597,0.081441544,0.099602724,0.087400681,0.078603859,0.097616345,0.275255392,0.260783201,0.290011351,5,3,22,Medical University of Graz,50,"Graz, AT",AT,HES,1,5.08E-02,16590029.94
A  INNSBRU01,AT0003,999869114,"GRID,5771,4,DE",515,668,University of Innsbruck,AT,Innsbruck,Western Europe,AT332,47.2633542,11.3838006,22,12,44,10,457,32,0.32,0,243,0,243,0.295469374,57,0.008275916,251,AT0003.2013,AT,NA,235.5,NA,0.315461686,0.373673036,0.065232445,2160.519243,NA,NA,NA,0.309537516,213,365,1746.679774,3939,9648.860532,1878.709753,16.27485565,183.4492349,914.0224151,3196,2758,275,277,1396,5.52411534,5.045171722,6.090193901,1.075589115,1.003528373,1.152176942,0.009317596,0.005904971,0.013182533,0.1050274,0.093552842,0.116819417,0.523291349,0.505306107,0.541199609,0.811373445,0.799441483,0.822543793,0.70017771,0.686468647,0.713125159,0.069814674,0.061436913,0.078446306,0.070322417,0.061944656,0.078700178,0.354404671,0.339172379,0.368367606,36,25,22,UNIVERSITAET INNSBRUCK,111,"INNSBRUCK, AT",AT,HES,1,8.85E-02,47276532.87
A  INNSBRU21,AT0016,999855437,"GRID,5361,1",445,299,Medical University of Innsbruck,AT,Innsbruck,Western Europe,AT332,47.2629925,11.3844742,15,17,12,57,377,46,0.46,0.045687847,227,0.005945009,231,0.166472831,103,0.046514278,229,AT0016.2013,AT,NA,42,NA,0.328088383,0.333333333,0.155555556,2160.519243,NA,NA,NA,0.309537516,96,124,1602.886863,3517,10501.48611,1588.000053,13.4522683,163.633957,830.6536892,2863,2287,284,270,916,6.551607821,6.1959696,6.961018851,0.990712501,0.945025664,1.042463508,0.008392525,0.005421527,0.01223943,0.102087029,0.091314097,0.114958322,0.518223531,0.498221361,0.53944847,0.814046062,0.8006824,0.827694057,0.650270117,0.632641456,0.665339778,0.08075064,0.072220643,0.090133637,0.076769974,0.067955644,0.085868638,0.260449247,0.245095252,0.275518908,3,1,15,Medizinische Universität Innsbruck,37,"Innsbruck, AT",AT,HES,1,9.26E-02,17499597.06
A  WIEN01,AT0001,999866883,"GRID,10420,37,OR",359,837,University of Vienna,AT,Vienna,Western Europe,AT130,48.2131855,16.3600504,10,6,37,3,352,100,1,0.674316813,7,0.408427989,9,0,221,0.694489543,7,AT0001.2013,AT,NA,498.5,NA,0.237723708,0.301905717,0.053586611,2160.519243,NA,NA,NA,0.309537516,1018,1206,3621.43609,7905,20755.38904,4061.608665,41.94489178,427.2999397,1930.354922,6464,5544,366,776,2437,5.731259238,5.374768489,6.201937202,1.121546415,1.071626187,1.17254734,0.011582392,0.008963296,0.014085755,0.117991849,0.110361198,0.126293024,0.533035755,0.52078831,0.546417982,0.81771031,0.809361164,0.82631246,0.701328273,0.691461101,0.711321948,0.04629981,0.042251739,0.05085389,0.098165718,0.091208096,0.104490829,0.308285895,0.298039216,0.318659077,87,109,10,UNIVERSITAT WIEN,214,"WIEN, AT",AT,HES,1,7.14E-02,116555499
A  WIEN02,AT0005,999979888,"GRID,5329,D,DE",366,862,Vienna University of Technology,AT,Vienna,Western Europe,AT130,48.1986546,16.3684626,11,7,24,6,301,100,1,0.210996587,101,0.045058381,143,0.274022139,63,0.203997973,107,AT0005.2013,AT,NA,276.5227273,NA,0.320762674,0.321936385,0.114424991,2160.519243,NA,NA,NA,0.309537516,426,251,2393.158739,4823,11917.80243,2618.754994,28.5454533,261.7564787,1274.722931,3808,3096,411,484,1271,4.979946477,4.60773229,5.412117879,1.094267151,1.030531406,1.157619697,0.01192794,0.008321257,0.015311472,0.109376981,0.100230253,0.120250124,0.532652895,0.515744464,0.547947264,0.789550073,0.778561062,0.800746423,0.641924114,0.629069044,0.655401203,0.08521667,0.076508397,0.093302923,0.100352478,0.091644205,0.10926809,0.263528924,0.250881194,0.276591333,27,50,11,TECHNISCHE UNIVERSITAET WIEN,224,"WIEN, AT",AT,HES,1,0.117021277,95840354.85
A  WIEN03,AT0008,999987357,"GRID,5173,0",441,716,University of Natural Resources and Life Sciences - BOKU,AT,Vienna,Western Europe,AT130,48.2365448,16.337579,15,19,12,22,461,25,0.25,0.103684614,187,0.02844884,179,0.214355364,76,0.105908017,189,AT0008.2013,AT,NA,108.8333333,NA,0.331720905,0.404287902,0.075013185,2160.519243,NA,NA,NA,0.309537516,222,166,1291.575571,2589,6968.839494,1439.562422,16.28599458,154.923834,730.0575912,2064,1562,238,414,551,5.395611107,5.060562664,5.719897089,1.114578546,1.04865011,1.176966215,0.012609401,0.008187486,0.017843932,0.119949492,0.106121368,0.134158363,0.565245742,0.543462507,0.586867046,0.797219003,0.781769023,0.812668984,0.603321746,0.584781769,0.622634222,0.091927385,0.080726149,0.103128621,0.1599073,0.145229818,0.173812283,0.212823484,0.196601004,0.230590962,19,24,15,UNIVERSITAET FUER BODENKULTUR WIEN,86,"WIEN, AT",AT,HES,1,0.101351351,26637972.1
A  WIEN64,AT0014,999989976,"GRID,22937,3d",274,303,Medical University of Vienna,AT,Vienna,Western Europe,AT130,48.2196989,16.3515215,7,6,7,26,221,69,0.69,0.05394366,223,0.004221501,238,0.291317139,59,0.057529308,223,AT0014.2013,AT,NA,91,NA,0.303180172,0.351648352,0.116888046,2160.519243,NA,NA,NA,0.309537516,71,109,3768.285313,7689,25721.42168,4100.932901,36.95074367,426.3679247,2067.562074,6148,4570,714,1123,2060,6.825762793,6.535510696,7.122751886,1.088275584,1.050371145,1.124775654,0.009805718,0.007445805,0.012265826,0.113146402,0.104753965,0.121301128,0.548674504,0.534825609,0.561736222,0.799583821,0.790089739,0.807647288,0.594355573,0.582910652,0.605020159,0.09285993,0.086227078,0.100143062,0.146052803,0.138769671,0.153596046,0.267915204,0.25751073,0.27792951,0,10,7,MEDIZINISCHE UNIVERSITAET WIEN,113,"WIEN, AT",AT,HES,1,0.104938272,45208672.61
B  ANTWERP01,BE0059,999902870,"GRID,5284,B,NL",436,573,University of Antwerp,BE,Antwerp,Western Europe,BE211,51.2228097,4.4102318,15,7,37,18,370,100,1,0.213024048,99,0.060065205,108,0,221,0.210201533,101,BE0059.2013,BE,163217927,235,NA,0.323577236,0.373390558,0.05259624,2062.37,113,0,3148.16,0.295475678,324,283,3114.394633,7490,17668.18566,3272.363367,27.10808705,340.6252164,1722.752717,6344,4821,395,1655,2341,5.673072217,5.420559882,5.944114248,1.050722132,1.014281918,1.092929867,0.008704127,0.006538633,0.011122014,0.109371244,0.101652447,0.118188063,0.553158132,0.540018522,0.566691293,0.846995995,0.838985314,0.85540721,0.643658211,0.633377837,0.654606142,0.052736983,0.047663551,0.057943925,0.220961282,0.212016021,0.230440587,0.312550067,0.30200267,0.322963952,19,14,15,UNIVERSITEIT ANTWERPEN,138,"ANTWERPEN, BE",BE,HES,1,0.104,81674634.02
