from_hei,to_hei,n
A  GRAZ01,CH GENEVE01,1
A  GRAZ01,CZ BRNO05,1
A  GRAZ01,CZ PRAHA07,1
A  GRAZ01,D  BERLIN13,1
A  GRAZ01,D  BONN01,1
A  GRAZ01,D  HEIDELB01,2
A  GRAZ01,D  KIEL01,1
A  GRAZ01,D  MARBURG01,1
A  GRAZ01,DK ODENSE01,2
A  GRAZ01,E  ALCAL-H01,3
A  GRAZ01,E  BADAJOZ01,3
A  GRAZ01,E  BARCELO02,3
A  GRAZ01,E  BARCELO15,1
A  GRAZ01,E  CASTELL01,3
A  GRAZ01,E  GRANADA01,5
A  GRAZ01,E  MADRID03,2
A  GRAZ01,E  PALMA01,1
A  GRAZ01,E  SALAMAN02,3
A  GRAZ01,E  SEVILLA01,2
A  GRAZ01,E  VALENCI01,3
A  GRAZ01,E  VALLADO01,2
A  GRAZ01,E  VIGO01,1
A  GRAZ01,E  ZARAGOZ01,1
A  GRAZ01,F  PARIS007,4
A  GRAZ01,HR ZAGREB01,6
A  GRAZ01,I  BOLOGNA01,8
A  GRAZ01,I  CATANIA01,1
A  GRAZ01,I  NAPOLI01,2
A  GRAZ01,I  SIENA01,1
A  GRAZ01,IRLDUBLIN02,2
A  GRAZ01,IRLDUBLIN04,3
A  GRAZ01,IS REYKJAV01,1
A  GRAZ01,NL GRONING01,1
A  GRAZ01,S  UPPSALA01,1
A  GRAZ01,SF HELSINK01,1
A  GRAZ01,SF TAMPERE01,1
A  GRAZ01,SI LJUBLJA01,1
A  GRAZ01,TR ISTANBU03,2
A  GRAZ01,UK ABERDEE01,2
A  GRAZ01,UK BELFAST01,2
A  GRAZ01,UK BRISTOL01,2
A  GRAZ01,UK EDINBUR02,4
A  GRAZ01,UK LANCAST01,2
A  INNSBRU01,CH GENEVE01,1
A  INNSBRU01,CZ PRAHA07,1
A  INNSBRU01,E  GRANADA01,2
A  INNSBRU01,E  MADRID03,2
A  INNSBRU01,E  OVIEDO01,4
A  INNSBRU01,E  SEVILLA01,3
A  INNSBRU01,E  VALENCI01,3
A  INNSBRU01,E  VALLADO01,4
A  INNSBRU01,F  DIJON01,1
A  INNSBRU01,F  MARSEIL84,2
A  INNSBRU01,F  NANTES01,1
A  INNSBRU01,F  PARIS005,1
A  INNSBRU01,F  PARIS012,4
A  INNSBRU01,F  STRASBO48,1
A  INNSBRU01,I  CAGLIAR01,3
A  INNSBRU01,I  PADOVA01,2
A  INNSBRU01,I  ROMA16,6
A  INNSBRU01,I  TRIESTE01,2
A  INNSBRU01,IRLDUBLIN01,1
A  INNSBRU01,IRLDUBLIN04,1
A  INNSBRU01,RO CLUJNAP01,1
A  INNSBRU01,S  GOTEBOR01,4
A  INNSBRU01,SF HELSINK01,1
A  INNSBRU01,SF JYVASKY01,2
A  INNSBRU01,UK BANGOR01,3
A  INNSBRU01,UK EDINBUR02,2
A  INNSBRU01,UK LONDON029,2
A  INNSBRU01,UK MANCHES01,5
A  WIEN01,B  ANTWERP01,2
A  WIEN01,B  LEUVEN01,2
A  WIEN01,CH BASEL01,2
A  WIEN01,CH BERN01,1
A  WIEN01,CH GENEVE01,5
A  WIEN01,CH ZURICH01,1
A  WIEN01,CZ BRNO05,1
A  WIEN01,CZ PRAHA07,4
A  WIEN01,D  BERLIN01,12
A  WIEN01,D  BERLIN13,10
A  WIEN01,D  BREMEN01,1
A  WIEN01,D  FRANKFU01,2
A  WIEN01,D  HAMBURG01,4
A  WIEN01,D  HEIDELB01,1
A  WIEN01,D  LEIPZIG01,5
A  WIEN01,D  MUNCHEN01,4
A  WIEN01,D  MUNSTER01,1
A  WIEN01,D  POTSDAM01,2
A  WIEN01,D  TUBINGE01,1
A  WIEN01,DK ARHUS01,3
A  WIEN01,DK KOBENHA01,3
A  WIEN01,E  ALCAL-H01,4
A  WIEN01,E  BARCELO01,2
A  WIEN01,E  BARCELO02,6
A  WIEN01,E  BARCELO15,8
A  WIEN01,E  CORDOBA01,1
A  WIEN01,E  GRANADA01,4
A  WIEN01,E  MADRID03,9
