from_hei,to_hei,n
A  GRAZ01,B  ANTWERP01,2
A  GRAZ01,B  GENT01,1
A  GRAZ01,B  LEUVEN01,3
A  GRAZ01,CH BASEL01,1
A  GRAZ01,CH GENEVE01,1
A  GRAZ01,CZ BRNO05,1
A  GRAZ01,CZ PRAHA07,1
A  GRAZ01,D  BERLIN01,4
A  GRAZ01,D  BERLIN02,2
A  GRAZ01,D  BERLIN13,1
A  GRAZ01,D  BOCHUM01,1
A  GRAZ01,D  BONN01,1
A  GRAZ01,D  DRESDEN02,1
A  GRAZ01,D  FRANKFU01,1
A  GRAZ01,D  HEIDELB01,2
A  GRAZ01,D  KIEL01,1
A  GRAZ01,D  LEIPZIG01,3
A  GRAZ01,D  MARBURG01,1
A  GRAZ01,D  REGENSB01,1
A  GRAZ01,DK ARHUS01,4
A  GRAZ01,DK ODENSE01,3
A  GRAZ01,E  ALCAL-H01,3
A  GRAZ01,E  BADAJOZ01,3
A  GRAZ01,E  BARCELO01,4
A  GRAZ01,E  BARCELO02,4
A  GRAZ01,E  BARCELO15,1
A  GRAZ01,E  CASTELL01,3
A  GRAZ01,E  GRANADA01,9
A  GRAZ01,E  MADRID03,4
A  GRAZ01,E  MADRID04,1
A  GRAZ01,E  PALMA01,1
A  GRAZ01,E  SALAMAN02,3
A  GRAZ01,E  SANTAND01,2
A  GRAZ01,E  SANTIAG01,1
A  GRAZ01,E  SEVILLA01,2
A  GRAZ01,E  VALENCI01,6
A  GRAZ01,E  VALLADO01,2
A  GRAZ01,E  VIGO01,1
A  GRAZ01,E  ZARAGOZ01,1
A  GRAZ01,F  NICE01,1
A  GRAZ01,F  PARIS007,4
A  GRAZ01,F  POITIER01,2
A  GRAZ01,F  STRASBO48,1
A  GRAZ01,HR ZAGREB01,8
A  GRAZ01,I  BARI01,1
A  GRAZ01,I  BOLOGNA01,11
A  GRAZ01,I  CATANIA01,1
A  GRAZ01,I  GENOVA01,1
A  GRAZ01,I  MILANO03,1
A  GRAZ01,I  MILANO16,2
A  GRAZ01,I  NAPOLI01,2
A  GRAZ01,I  PADOVA01,2
A  GRAZ01,I  ROMA01,2
A  GRAZ01,I  SIENA01,1
A  GRAZ01,I  TRENTO01,1
A  GRAZ01,IRLDUBLIN02,2
A  GRAZ01,IRLDUBLIN04,3
A  GRAZ01,IRLLIMERIC01,3
A  GRAZ01,IS REYKJAV01,3
A  GRAZ01,N  BERGEN01,4
A  GRAZ01,NL AMSTERD02,2
A  GRAZ01,NL ENSCHED01,1
A  GRAZ01,NL GRONING01,1
A  GRAZ01,NL LEIDEN01,1
A  GRAZ01,NL TILBURG01,3
A  GRAZ01,NL UTRECHT01,6
A  GRAZ01,P  COIMBRA01,3
A  GRAZ01,P  LISBOA02,1
A  GRAZ01,S  GOTEBOR01,2
A  GRAZ01,S  LUND01,2
A  GRAZ01,S  UPPSALA01,6
A  GRAZ01,SF HELSINK01,2
A  GRAZ01,SF OULU01,1
A  GRAZ01,SF TAMPERE01,2
A  GRAZ01,SF TURKU01,4
A  GRAZ01,SI LJUBLJA01,1
A  GRAZ01,TR ISTANBU03,3
A  GRAZ01,UK ABERDEE01,2
A  GRAZ01,UK BELFAST01,2
A  GRAZ01,UK BRISTOL01,2
A  GRAZ01,UK COVENTR01,1
A  GRAZ01,UK EDINBUR02,4
A  GRAZ01,UK EXETER01,3
A  GRAZ01,UK HULL01,1
A  GRAZ01,UK LANCAST01,2
A  GRAZ01,UK READING01,1
A  GRAZ02,B  LEUVEN01,5
A  GRAZ02,CZ PRAHA10,3
A  GRAZ02,D  AACHEN01,1
A  GRAZ02,D  BERLIN02,2
A  GRAZ02,D  MUNCHEN02,3
A  GRAZ02,D  STUTTGA01,1
A  GRAZ02,E  BARCELO03,1
A  GRAZ02,E  GRANADA01,2
A  GRAZ02,E  LA-CORU01,1
A  GRAZ02,E  OVIEDO01,2
A  GRAZ02,E  PAMPLON01,1
A  GRAZ02,E  SANTAND01,2
A  GRAZ02,E  VALENCI02,2
A  GRAZ02,E  ZARAGOZ01,1
A  GRAZ02,F  RENNES01,1
A  GRAZ02,I  CAGLIAR01,2
A  GRAZ02,I  FIRENZE01,1
A  GRAZ02,I  MILANO02,4
A  GRAZ02,IRLDUBLIN02,1
A  GRAZ02,N  BERGEN01,2
A  GRAZ02,N  OSLO01,1
A  GRAZ02,NL DELFT01,2
A  GRAZ02,P  AVEIRO01,1
A  GRAZ02,P  PORTO02,1
A  GRAZ02,S  GOTEBOR02,5
A  GRAZ02,S  LINKOPI01,5
A  GRAZ02,S  LUND01,6
A  GRAZ02,S  STOCKHO01,2
A  GRAZ02,S  STOCKHO04,6
A  GRAZ02,S  UPPSALA01,1
A  GRAZ02,SF ESPOO12,3
A  GRAZ02,SF HELSINK01,2
A  GRAZ02,SF OULU01,2
A  GRAZ02,TR ISTANBU04,2
A  GRAZ02,UK BRISTOL01,2
A  GRAZ02,UK COVENTR01,1
A  GRAZ02,UK CRANFIE01,1
A  GRAZ02,UK GLASGOW01,1
A  GRAZ02,UK GLASGOW02,3
A  GRAZ02,UK LIVERPO01,2
A  GRAZ23,CH BASEL01,1
A  GRAZ23,CZ PRAHA07,1
A  GRAZ23,D  BERLIN01,1
A  GRAZ23,D  BONN01,1
A  GRAZ23,D  GREIFS01,3
A  GRAZ23,D  HEIDELB01,1
A  GRAZ23,D  TUBINGE01,1
A  GRAZ23,E  BARCELO01,2
A  GRAZ23,E  BILBAO01,2
A  GRAZ23,E  MADRID03,2
A  GRAZ23,E  MALAGA01,1
A  GRAZ23,F  LYON01,2
A  GRAZ23,F  MARSEIL84,2
A  GRAZ23,F  MONTPEL01,2
A  GRAZ23,I  CAGLIAR01,2
A  GRAZ23,I  FIRENZE01,1
A  GRAZ23,I  PARMA01,1
A  GRAZ23,N  TROMSO01,2
A  GRAZ23,P  LISBOA02,1
A  GRAZ23,SF KUOPIO12,1
A  GRAZ23,TR ISTANBU03,2
A  INNSBRU01,CH GENEVE01,1
A  INNSBRU01,CZ PRAHA07,1
A  INNSBRU01,D  BERLIN01,3
A  INNSBRU01,D  BERLIN02,2
A  INNSBRU01,D  BERLIN13,1
A  INNSBRU01,DK ARHUS01,6
A  INNSBRU01,DK KOBENHA01,2
A  INNSBRU01,E  BARCELO01,1
A  INNSBRU01,E  BILBAO01,2
