from_hei,to_hei,n
A  GRAZ01,D  BERLIN01,4
A  GRAZ01,D  BERLIN02,2
A  GRAZ01,D  LEIPZIG01,2
A  GRAZ01,DK ODENSE01,1
A  GRAZ01,E  BARCELO01,1
A  GRAZ01,E  GRANADA01,1
A  GRAZ01,E  VALENCI01,1
A  GRAZ01,I  ROMA01,1
A  GRAZ01,NL UTRECHT01,1
A  GRAZ01,S  UPPSALA01,1
A  GRAZ02,CZ PRAHA10,1
A  GRAZ02,E  OVIEDO01,1
A  GRAZ02,E  SANTAND01,1
A  GRAZ02,F  RENNES01,1
A  GRAZ02,I  FIRENZE01,1
A  GRAZ02,IRLDUBLIN02,1
A  GRAZ02,N  BERGEN01,2
A  GRAZ02,N  OSLO01,1
A  GRAZ02,P  AVEIRO01,1
A  GRAZ02,S  GOTEBOR02,2
A  GRAZ02,S  LUND01,4
A  GRAZ02,S  STOCKHO01,2
A  GRAZ02,S  STOCKHO04,3
A  GRAZ02,S  UPPSALA01,1
A  GRAZ02,SF HELSINK01,2
A  GRAZ02,TR ISTANBU04,1
A  GRAZ02,UK BRISTOL01,1
A  GRAZ02,UK CRANFIE01,1
A  GRAZ02,UK GLASGOW02,2
A  INNSBRU01,D  BERLIN01,1
A  INNSBRU01,D  BERLIN13,1
A  INNSBRU01,DK KOBENHA01,1
A  INNSBRU01,E  MADRID03,1
A  INNSBRU01,I  PERUGIA01,1
A  INNSBRU01,IRLCORK01,1
A  INNSBRU01,IS REYKJAV01,3
A  INNSBRU01,N  BERGEN01,3
A  INNSBRU01,NL AMSTERD02,3
A  INNSBRU01,NL UTRECHT01,1
A  INNSBRU01,P  COIMBRA01,1
A  INNSBRU01,S  LUND01,1
A  INNSBRU01,S  STOCKHO01,1
A  INNSBRU01,SF HELSINK01,1
A  INNSBRU01,UK BIRMING02,1
A  INNSBRU01,UK DURHAM01,1
A  WIEN01,B  LEUVEN01,2
A  WIEN01,CH ZURICH01,1
A  WIEN01,CZ PRAHA07,1
A  WIEN01,D  BERLIN01,1
A  WIEN01,D  BERLIN02,1
A  WIEN01,D  BERLIN13,2
A  WIEN01,D  MUNSTER01,1
A  WIEN01,DK ARHUS01,1
A  WIEN01,DK KOBENHA01,8
A  WIEN01,DK LYNGBY01,1
A  WIEN01,E  BARCELO01,3
A  WIEN01,E  BARCELO02,1
A  WIEN01,E  MADRID04,4
A  WIEN01,E  OVIEDO01,2
A  WIEN01,E  SANTIAG01,1
A  WIEN01,F  LYON01,1
A  WIEN01,F  MARSEIL84,1
A  WIEN01,F  PARIS006,4
A  WIEN01,HR ZAGREB01,1
A  WIEN01,I  MILANO01,1
A  WIEN01,I  ROMA16,1
A  WIEN01,N  OSLO01,2
A  WIEN01,NL AMSTERD01,2
A  WIEN01,P  LISBOA02,1
A  WIEN01,P  PORTO02,1
A  WIEN01,RO CLUJNAP01,1
A  WIEN01,S  GOTEBOR01,3
A  WIEN01,S  LUND01,3
A  WIEN01,S  STOCKHO01,4
A  WIEN01,S  UMEA01,1
A  WIEN01,S  UPPSALA01,1
A  WIEN01,SF KUOPIO12,3
A  WIEN01,SF OULU01,1
A  WIEN01,SF TURKU01,1
A  WIEN01,SI LJUBLJA01,1
A  WIEN01,UK COVENTR01,2
A  WIEN01,UK EDINBUR01,1
A  WIEN01,UK GLASGOW01,1
A  WIEN01,UK LEEDS01,1
